Tooth,1_Track,2_Track,3_Track,4_Track,5_Track,6_Track,7_Track,8_Track,9_Track,10_Track,11_Track,12_Track,13_Track,14_Track,15_Track,16_Track,17_Track,18_Track,19_Track,20_Track,21_Track,22_Track,23_Track,24_Track,25_Track,26_Track,27_Track,28_Track,29_Track,30_Track,31_Track,32_Track,33_Track,34_Track,35_Track,36_Track,37_Track,38_Track,39_Track,40_Track,41_Track,42_Track,43_Track,44_Track,45_Track,46_Track,47_Track,48_Track,49_Track,50_Track,51_Track,52_Track,53_Track,54_Track,55_Track,56_Track,57_Track,58_Track,59_Track,60_Track,61_Track,62_Track,63_Track,64_Track,65_Track,66_Track,67_Track,68_Track,69_Track,70_Track,71_Track,72_Track,73_Track,74_Track,75_Track,76_Track,77_Track,78_Track,79_Track,80_Track,81_Track,82_Track,83_Track,84_Track,85_Track,86_Track,87_Track,88_Track,89_Track,90_Track,91_Track,92_Track,93_Track,94_Track,95_Track,96_Track,97_Track,98_Track,99_Track,100_Track,101_Track,102_Track,103_Track,104_Track,105_Track,106_Track,107_Track,108_Track,109_Track,110_Track,111_Track,112_Track,113_Track,114_Track,115_Track,116_Track,117_Track,118_Track,119_Track,120_Track,121_Track,122_Track,123_Track,124_Track,125_Track,126_Track,127_Track,128_Track,129_Track,130_Track,131_Track,132_Track,133_Track,134_Track,135_Track,136_Track,137_Track
1st Cutting Edge,62.65,77.14,56.44,57.86,74.61,83.63,89.46,107.16,115.25,117.23,124.46,90.2,60.69,64.77,52.91,115.21,154.06,143.26,109.49,114.32,121.04,95.25,99.74,53.06,74.11,88.41,182.19,155.61,47.71,82.9,144.47,123.27,164.12,66.15,147.19,148.11,100.31,164.51,155.32,92.1,183.61,185.33,105.59,185.73,196.53,160.77,182.69,97.13,103.03,129.36,133.57,184.23,142.16,125.17,181.44,182.88,160.68,194.93,159.58,223.99,253.94,184.01,160.86,204.15,278.31,189.28,182.42,201.01,275.91,220.94,277.57,220.18,296.1,208.59,199.27,264.99,179.47,270.31,88.37,160.25,184.71,260.18,198.82,209.67,184.68,184.68,216.57,263.37,264.29,283.45,228.3,288.32,165.53,276.29,277.5,267.89,196.72,197.1,217.13,288.83,210.19,259.2,230.79,130.19,278.29,279.67,268.84,226.01,206.34,292.73,235.77,304.67,279.88,284.54,283.64,259.2,268.22,60.75,284.76,273.93,267.1,261.63,256.78,286.01,284.99,57.75,52.87,77.42,92.94,57.68,59.72,54.63,48.09,51.46,60.81,87.25,80.39
2nd Cutting Edge,63.96,90.39,87.89,81.23,90.94,54.63,93.58,111.38,145.66,131.67,105.48,116.47,124.51,137.21,82.4,84.02,84.85,150.01,165.6,169.93,176.61,153.08,112.09,142.64,136.93,170.21,77.31,67.53,162.62,157.11,143.0,187.06,160.24,96.19,157.23,74.19,144.45,119.9,131.32,86.82,179.57,132.0,213.35,209.26,201.96,179.9,183.52,151.23,158.51,159.08,202.24,142.59,113.9,276.41,223.8,227.27,113.75,160.43,182.76,146.78,188.3,165.38,274.53,267.38,93.32,228.6,230.05,195.41,202.72,213.61,176.8,203.31,190.49,253.76,204.83,55.2,205.45,206.41,173.0,184.75,185.14,231.41,231.79,158.01,221.61,223.72,206.02,277.07,195.41,177.8,206.1,218.04,232.05,284.73,285.71,270.79,279.42,280.12,232.24,216.75,61.94,203.15,217.61,241.38,247.07,228.67,281.81,280.93,280.66,255.63,209.02,100.69,254.11,239.14,170.95,285.9,278.93,217.06,221.56,237.24,230.91,261.6,288.61,266.65,280.09,62.79,64.67,74.61,113.87,85.35,88.13,126.8,54.91,60.91,110.56,62.5,55.49
3rd Cutting Edge,135.45,71.31,56.65,80.28,116.71,114.42,61.51,60.39,58.27,140.81,104.28,110.04,125.74,125.42,128.93,115.14,98.81,94.06,97.62,60.25,186.75,186.01,156.73,152.54,169.1,172.52,172.28,79.66,154.7,162.39,157.94,156.6,188.97,126.65,170.6,167.48,179.12,165.51,166.26,152.08,140.98,153.28,109.42,197.69,157.42,114.51,234.17,209.48,143.05,182.44,157.16,151.9,145.99,150.14,139.22,166.67,182.45,171.1,201.67,188.59,179.56,153.06,162.51,151.58,264.91,269.81,187.75,213.49,197.36,200.24,180.8,190.66,103.66,156.89,231.68,289.21,279.95,280.67,209.36,225.92,197.86,278.12,176.98,74.85,209.92,250.78,54.79,210.02,204.05,204.21,191.48,200.34,191.72,285.82,278.23,239.59,287.94,64.7,281.76,237.72,251.56,239.45,227.73,214.62,219.52,219.7,225.7,224.85,69.64,283.06,282.59,58.1,232.03,232.75,270.05,226.06,269.15,284.78,281.97,279.04,234.39,225.73,93.29,281.59,283.62,144.38,66.46,68.26,91.34,77.66,60.08,72.38,127.13,121.35,67.03,75.78,98.81
4th Cutting Edge,84.3,80.68,89.39,101.4,65.15,71.35,143.83,91.94,125.68,55.72,64.33,130.13,132.91,144.97,139.97,108.19,126.56,166.48,77.19,117.21,78.54,80.92,181.97,177.93,169.26,174.45,148.18,154.39,92.12,62.36,62.03,151.9,127.91,138.5,127.58,171.43,162.24,145.69,184.18,167.17,170.62,166.96,143.31,116.73,132.77,96.93,152.58,132.53,160.44,247.68,184.14,181.52,266.69,125.34,177.47,122.7,182.82,165.27,230.93,218.9,206.15,174.55,148.18,194.8,142.52,177.9,177.99,278.95,209.81,77.3,210.47,207.16,173.03,221.11,183.64,219.11,168.33,278.93,283.68,194.41,109.37,216.19,204.65,175.21,221.56,210.92,195.86,232.53,221.25,220.78,220.18,171.52,203.45,207.33,57.01,230.15,292.89,217.85,272.91,239.03,276.4,279.5,281.18,225.77,209.29,59.29,230.18,294.54,226.8,221.85,223.49,212.24,246.38,231.25,252.97,289.52,265.91,232.44,239.9,63.38,281.76,280.49,311.47,312.33,75.64,141.86,58.91,57.89,114.16,60.31,77.73,61.58,68.86,76.11,95.51,50.61,74.9
