Tooth,1_Track,2_Track,3_Track,4_Track,5_Track,6_Track,7_Track,8_Track,9_Track,10_Track,11_Track,12_Track,13_Track,14_Track,15_Track,16_Track,17_Track,18_Track,19_Track,20_Track,21_Track,22_Track,23_Track,24_Track,25_Track,26_Track
1st Cutting Edge,180.16,79.99,80.06,259.85,289.66,296.63,321.66,348.12,345.6,348.35,176.4,350.69,346.86,360.15,354.83,350.68,357.7,361.54,362.91,364.08,373.29,162.03,384.11,360.16,89.44,77.3
2nd Cutting Edge,211.97,81.94,200.12,227.36,341.74,285.09,289.63,165.19,343.0,352.16,353.12,353.3,350.05,350.62,353.59,357.64,411.29,353.49,197.29,367.37,431.25,381.33,376.39,69.72,83.37,57.94
3rd Cutting Edge,214.18,90.68,246.21,275.69,156.66,344.81,342.9,337.13,352.25,350.45,350.05,351.81,353.38,358.56,350.11,162.44,368.37,362.7,363.77,364.54,381.28,361.99,383.78,65.95,77.61,67.07
4th Cutting Edge,81.97,114.54,257.4,339.64,342.4,336.24,345.79,349.36,339.98,342.57,351.28,355.51,195.82,353.83,360.47,354.09,372.29,376.1,369.84,379.16,362.18,436.1,372.26,214.62,82.51,89.91
