Tooth,1_Track,2_Track,3_Track,4_Track,5_Track,6_Track,7_Track,8_Track,9_Track,10_Track,11_Track,12_Track,13_Track,14_Track,15_Track,16_Track,17_Track,18_Track,19_Track,20_Track,21_Track,22_Track,23_Track,24_Track,25_Track,26_Track,27_Track,28_Track,29_Track,30_Track,31_Track,32_Track,33_Track,34_Track,35_Track,36_Track,37_Track,38_Track,39_Track,40_Track,41_Track,42_Track,43_Track,44_Track,45_Track,46_Track,47_Track,48_Track,49_Track,50_Track,51_Track,52_Track,53_Track,54_Track,55_Track,56_Track,57_Track,58_Track,59_Track,60_Track,61_Track,62_Track,63_Track,64_Track,65_Track,66_Track,67_Track,68_Track,69_Track,70_Track,71_Track,72_Track,73_Track,74_Track,75_Track,76_Track,77_Track,78_Track,79_Track,80_Track,81_Track,82_Track,83_Track,84_Track,85_Track,86_Track,87_Track,88_Track,89_Track,90_Track,91_Track,92_Track,93_Track,94_Track,95_Track,96_Track,97_Track,98_Track,99_Track,100_Track,101_Track,102_Track,103_Track,104_Track,105_Track,106_Track,107_Track,108_Track,109_Track,110_Track,111_Track,112_Track,113_Track,114_Track,115_Track,116_Track,117_Track,118_Track,119_Track,120_Track,121_Track,122_Track,123_Track,124_Track,125_Track,126_Track,127_Track,128_Track,129_Track,130_Track,131_Track,132_Track,133_Track,134_Track,135_Track,136_Track,137_Track
1st Cutting Edge,60.22,74.71,54.01,55.41,72.16,81.2,87.01,104.72,112.82,114.8,122.01,87.75,58.25,62.34,50.47,112.78,151.61,140.83,107.04,111.87,118.61,92.81,97.29,50.61,71.66,85.96,179.76,153.18,45.26,80.47,142.04,120.84,161.68,63.72,144.76,145.69,97.86,162.08,152.89,89.65,181.16,182.9,103.16,183.3,194.1,158.34,180.26,94.7,100.6,126.91,131.12,181.78,139.72,122.73,178.99,180.45,158.25,192.48,157.15,221.54,251.51,181.56,158.42,201.72,275.86,186.83,179.99,198.58,273.48,218.51,275.14,217.75,293.65,206.14,196.82,262.56,177.02,267.88,85.92,157.8,182.28,257.73,196.37,207.24,182.23,182.25,214.14,260.94,261.86,281.0,225.87,285.88,163.1,273.86,275.07,265.44,194.29,194.65,214.68,286.4,207.76,256.77,228.36,127.75,275.86,277.24,266.41,223.56,203.91,290.28,233.32,302.24,277.45,282.11,281.21,256.77,265.79,58.3,282.31,271.5,264.67,259.2,254.35,283.56,282.56,55.32,50.44,74.99,90.51,55.25,57.27,52.2,45.64,49.01,58.36,84.8,77.95
2nd Cutting Edge,61.53,87.96,85.46,78.8,88.51,52.18,91.15,108.93,143.21,129.24,103.05,114.04,122.08,134.77,79.95,81.59,82.4,147.57,163.17,167.48,174.16,150.64,109.66,140.21,134.5,167.76,74.88,65.08,160.17,154.66,140.57,184.63,157.8,93.75,154.8,71.76,142.0,117.47,128.89,84.37,177.14,129.55,210.9,206.81,199.51,177.47,181.07,148.8,156.08,156.65,199.81,140.16,111.45,273.98,221.35,224.84,111.3,157.99,180.33,144.35,185.87,162.94,272.1,264.94,90.89,226.15,227.61,192.98,200.27,211.17,174.35,200.88,188.04,251.33,202.39,52.75,203.02,203.98,170.55,182.3,182.71,228.98,229.36,155.56,219.18,221.28,203.57,274.64,192.98,175.35,203.65,215.59,229.6,282.3,283.26,268.36,276.98,277.67,229.8,214.31,59.51,200.72,215.18,238.95,244.64,226.23,279.36,278.48,278.23,253.18,206.59,98.26,251.68,236.7,168.52,283.47,276.5,214.62,219.11,234.81,228.48,259.15,286.16,264.22,277.66,60.34,62.24,72.17,111.42,82.9,85.68,124.37,52.46,58.46,108.12,60.05,53.06
3rd Cutting Edge,133.01,68.86,54.2,77.85,114.28,111.99,59.06,57.96,55.84,138.38,101.84,107.61,123.3,122.99,126.49,112.69,96.36,91.61,95.19,57.82,184.32,183.57,154.3,150.11,166.67,170.09,169.83,77.23,152.25,159.96,155.51,154.16,186.54,124.2,168.15,165.03,176.69,163.08,163.82,149.64,138.55,150.83,106.97,195.25,154.99,112.06,231.74,207.07,140.62,180.0,154.73,149.47,143.55,147.71,136.79,164.24,180.02,168.67,199.24,186.16,177.12,150.61,160.06,149.14,262.46,267.36,185.3,211.05,194.93,197.81,178.37,188.23,101.22,154.46,229.24,286.76,277.52,278.24,206.93,223.47,195.43,275.69,174.55,72.42,207.48,248.33,52.35,207.57,201.6,201.76,189.03,197.91,189.28,283.38,275.79,237.15,285.5,62.27,279.33,235.29,249.11,237.02,225.3,212.18,217.07,217.25,223.27,222.42,67.21,280.62,280.16,55.65,229.6,230.3,267.62,223.61,266.72,282.35,279.54,276.59,231.94,223.3,90.84,279.14,281.19,141.93,64.03,65.81,88.91,75.21,57.65,69.95,124.7,118.92,64.6,73.35,96.36
4th Cutting Edge,81.87,78.23,86.96,98.96,62.72,68.91,141.4,89.49,123.25,53.27,61.89,127.7,130.48,142.52,137.52,105.74,124.11,164.05,74.76,114.78,76.09,78.49,179.54,175.48,166.82,172.0,145.75,151.94,89.67,59.93,59.6,149.47,125.46,136.07,125.15,168.98,159.79,143.24,181.75,164.74,168.19,164.53,140.88,114.3,130.34,94.48,150.14,130.1,158.01,245.24,181.71,179.09,264.25,122.89,175.04,120.27,180.38,162.84,228.48,216.45,203.71,172.12,145.73,192.37,140.09,175.47,175.55,276.52,207.36,74.86,208.02,204.72,170.6,218.68,181.21,216.68,165.88,276.5,281.23,191.96,106.93,213.76,202.2,172.78,219.13,208.47,193.41,230.1,218.82,218.33,217.75,169.08,201.01,204.88,54.56,227.7,290.44,215.42,270.48,236.6,273.96,277.07,278.73,223.32,206.86,56.84,227.73,292.09,224.37,219.4,221.04,209.79,243.93,228.82,250.54,287.09,263.48,229.99,237.46,60.94,279.31,278.05,309.03,309.9,73.19,139.43,56.48,55.46,111.73,57.86,75.3,59.15,66.43,73.67,93.08,48.18,72.47
